id,nombre_rol,departamento,salario_anual_eur,anios_experiencia,pais,empresa_tipo,nivel,modalidad_trabajo,anio_registro
1,Data Analyst,Engineering,58000,11,NL,Enterprise,Mid,Presencial,2022
2,BI Developer,Product,94000,12,NL,Enterprise,Lead,Remoto,2023
3,ML Engineer,Product,46000,9,GB,Enterprise,Junior,Remoto,2024
4,BI Developer,Data,28000,9,FR,Consultora,Lead,Remoto,2021
5,BI Developer,Research,28000,2,NL,PYME,Junior,Presencial,2021
6,Data Engineer,Research,85000,7,FR,PYME,Junior,Presencial,2023
7,ML Engineer,Engineering,64000,15,FR,Consultora,Junior,Remoto,2024
8,ML Engineer,Research,52000,14,DE,Enterprise,Lead,Presencial,2021
9,ML Engineer,Engineering,34000,10,GB,Enterprise,Junior,Remoto,2024
10,BI Developer,Data,46000,3,NL,PYME,Senior,Remoto,2023
11,Data Analyst,Product,43000,7,ES,Enterprise,Lead,Híbrido,2021
12,ML Engineer,Product,49000,12,US,Startup,Senior,Presencial,2024
13,MLOps Engineer,Product,52000,10,ES,PYME,Junior,Remoto,2021
14,BI Developer,Research,40000,9,GB,Enterprise,Mid,Remoto,2023
15,Data Engineer,Data,28000,4,US,PYME,Junior,Presencial,2024
16,Data Analyst,Research,82000,12,GB,Startup,Senior,Híbrido,2021
17,MLOps Engineer,Research,55000,1,FR,PYME,Senior,Híbrido,2023
18,MLOps Engineer,Data,61000,2,US,PYME,Lead,Remoto,2021
19,Data Engineer,Data,70000,1,FR,PYME,Mid,Presencial,2021
20,Data Analyst,Data,91000,14,ES,PYME,Lead,Híbrido,2022
21,BI Developer,Data,52000,12,ES,Startup,Senior,Presencial,2022
22,Data Scientist,Product,85000,5,US,Consultora,Junior,Presencial,2023
23,Data Analyst,Analytics,76000,5,US,PYME,Mid,Remoto,2022
24,Data Engineer,Analytics,76000,11,NL,PYME,Junior,Híbrido,2023
25,MLOps Engineer,Data,85000,7,GB,Enterprise,Junior,Remoto,2022
26,BI Developer,Analytics,61000,9,NL,PYME,Mid,Híbrido,2021
27,Data Analyst,Analytics,46000,9,GB,Enterprise,Lead,Híbrido,2023
28,Data Scientist,Data,31000,3,NL,Consultora,Junior,Híbrido,2023
29,Data Scientist,Analytics,34000,3,FR,Startup,Senior,Híbrido,2021
30,ML Engineer,Research,76000,3,US,Startup,Junior,Híbrido,2023
31,ML Engineer,Engineering,40000,4,ES,Consultora,Mid,Presencial,2023
32,Data Engineer,Engineering,76000,8,GB,Startup,Mid,Remoto,2022
33,Data Analyst,Data,76000,6,GB,Consultora,Mid,Presencial,2023
34,Data Analyst,Product,76000,8,ES,Consultora,Lead,Híbrido,2024
35,MLOps Engineer,Data,31000,1,NL,Consultora,Junior,Remoto,2021
36,MLOps Engineer,Product,31000,8,GB,Startup,Lead,Híbrido,2022
37,MLOps Engineer,Engineering,91000,4,FR,Enterprise,Lead,Remoto,2022
38,ML Engineer,Data,94000,11,US,Consultora,Mid,Presencial,2024
39,Data Analyst,Research,40000,1,ES,PYME,Mid,Remoto,2021
40,Data Analyst,Analytics,28000,8,US,Startup,Lead,Remoto,2021
41,Data Scientist,Product,28000,4,GB,Consultora,Junior,Remoto,2022
42,ML Engineer,Analytics,82000,6,GB,Consultora,Senior,Remoto,2023
43,BI Developer,Analytics,31000,8,ES,PYME,Lead,Remoto,2022
44,ML Engineer,Data,88000,4,FR,Enterprise,Junior,Híbrido,2021
45,BI Developer,Analytics,61000,14,DE,Enterprise,Mid,Remoto,2024
46,Data Scientist,Research,43000,3,ES,Enterprise,Mid,Remoto,2022
47,Data Engineer,Analytics,94000,14,DE,Consultora,Junior,Presencial,2021
48,Data Analyst,Data,37000,9,NL,Consultora,Senior,Remoto,2022
49,Data Scientist,Research,94000,3,DE,Consultora,Mid,Presencial,2023
50,Data Analyst,Engineering,58000,9,FR,Startup,Mid,Híbrido,2022
51,MLOps Engineer,Analytics,76000,13,NL,PYME,Mid,Remoto,2022
52,Data Engineer,Data,43000,2,DE,Consultora,Junior,Presencial,2021
53,Data Engineer,Engineering,40000,14,NL,PYME,Lead,Presencial,2021
54,Data Scientist,Engineering,85000,2,DE,PYME,Mid,Híbrido,2021
55,Data Engineer,Product,31000,2,FR,Enterprise,Lead,Remoto,2022
56,BI Developer,Research,43000,6,DE,Startup,Senior,Remoto,2023
57,Data Engineer,Analytics,91000,3,DE,Consultora,Mid,Presencial,2024
58,Data Analyst,Data,58000,13,DE,Enterprise,Mid,Remoto,2024
59,Data Analyst,Product,73000,9,ES,Enterprise,Senior,Presencial,2021
60,Data Analyst,Research,73000,4,ES,Consultora,Mid,Remoto,2021
61,Data Analyst,Product,28000,1,ES,PYME,Lead,Presencial,2022
62,BI Developer,Research,52000,4,FR,Enterprise,Junior,Remoto,2024
63,ML Engineer,Research,43000,1,NL,PYME,Lead,Híbrido,2021
64,MLOps Engineer,Analytics,73000,14,GB,Startup,Junior,Remoto,2023
65,Data Scientist,Research,34000,5,DE,PYME,Junior,Remoto,2023
66,Data Analyst,Product,85000,4,DE,Startup,Lead,Híbrido,2021
67,Data Engineer,Research,37000,8,FR,PYME,Lead,Remoto,2021
68,Data Analyst,Analytics,82000,8,DE,Enterprise,Lead,Híbrido,2024
69,Data Engineer,Analytics,34000,7,ES,Enterprise,Lead,Remoto,2024
70,MLOps Engineer,Product,82000,3,GB,Startup,Senior,Presencial,2022
71,MLOps Engineer,Engineering,85000,1,US,Consultora,Mid,Presencial,2024
72,MLOps Engineer,Engineering,46000,1,DE,Startup,Junior,Remoto,2023
73,Data Engineer,Research,85000,12,ES,Startup,Lead,Remoto,2023
74,Data Analyst,Data,52000,11,US,PYME,Lead,Remoto,2021
75,MLOps Engineer,Research,28000,3,GB,PYME,Lead,Presencial,2024
76,BI Developer,Product,49000,6,US,Startup,Senior,Remoto,2022
77,Data Engineer,Product,46000,7,ES,Enterprise,Lead,Presencial,2023
78,Data Engineer,Product,79000,6,NL,PYME,Lead,Híbrido,2023
79,Data Analyst,Product,49000,14,NL,Consultora,Lead,Presencial,2022
80,Data Engineer,Product,28000,14,US,PYME,Mid,Presencial,2022
